Date,Price
09/13/2022,"60,721.30"
09/12/2022,"60,273.50"
09/09/2022,"59,978.55"
09/08/2022,"59,882.60"
09/07/2022,"59,230.25"
09/06/2022,"59,408.10"
09/05/2022,"59,466.50"
09/02/2022,"59,049.60"
09/01/2022,"59,021.85"
08/30/2022,"59,814.20"
08/29/2022,"58,251.50"
08/26/2022,"59,144.35"
08/25/2022,"58,774.72"
08/24/2022,"59,094.60"
08/23/2022,"59,049.60"
08/22/2022,"58,801.15"
08/19/2022,"59,701.60"
08/18/2022,"60,363.40"
08/17/2022,"60,334.80"
08/16/2022,"59,925.65"
08/12/2022,"59,582.55"
08/11/2022,"59,461.30"
08/10/2022,"58,954.00"
08/08/2022,"59,008.10"
08/05/2022,"58,569.00"
08/04/2022,"58,471.80"
08/03/2022,"58,531.95"
08/02/2022,"58,325.30"
08/01/2022,"58,312.60"
07/29/2022,"57,790.00"
07/28/2022,"56,857.79"
07/27/2022,"55,824.20"
07/26/2022,"55,284.10"
07/25/2022,"55,789.80"
07/22/2022,"56,119.75"
07/21/2022,"55,737.00"
07/20/2022,"55,460.10"
07/19/2022,"54,837.20"
07/18/2022,"54,598.15"
07/15/2022,"53,859.45"
07/14/2022,"53,521.75"
07/13/2022,"53,627.50"
07/12/2022,"54,008.40"
07/11/2022,"54,525.90"
07/08/2022,"54,635.80"
07/07/2022,"54,339.25"
07/06/2022,"53,918.05"
07/05/2022,"53,307.05"
07/04/2022,"53,415.35"
07/01/2022,"53,109.90"
06/30/2022,"53,018.94"
06/29/2022,"53,034.45"
06/28/2022,"53,192.45"
06/27/2022,"53,183.75"
06/24/2022,"52,772.65"
06/23/2022,"52,317.40"
06/22/2022,"51,881.05"
06/21/2022,"52,598.85"
06/20/2022,"51,670.70"
06/17/2022,"51,454.70"
06/16/2022,"51,597.60"
06/15/2022,"52,652.70"
06/14/2022,"52,812.70"
06/13/2022,"52,973.65"
06/10/2022,"54,456.90"
06/09/2022,"55,484.45"
06/08/2022,"55,063.15"
06/07/2022,"55,269.05"
